"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","SVK","Slovakia","2013","2013",22,,
"220006","Total number of national feature films produced","SVK","Slovakia","2014","2014",27,,
"220006","Total number of national feature films produced","SVK","Slovakia","2015","2015",26,,
"220006","Total number of national feature films produced","ESP","Spain","2005","2005",142,,
"220006","Total number of national feature films produced","ESP","Spain","2006","2006",150,,
"220006","Total number of national feature films produced","ESP","Spain","2007","2007",172,,
"220006","Total number of national feature films produced","ESP","Spain","2008","2008",173,,
"220006","Total number of national feature films produced","ESP","Spain","2009","2009",186,,
"220006","Total number of national feature films produced","ESP","Spain","2010","2010",200,,
"220006","Total number of national feature films produced","ESP","Spain","2011","2011",199,,
"220006","Total number of national feature films produced","ESP","Spain","2012","2012",182,,
"220006","Total number of national feature films produced","ESP","Spain","2013","2013",231,,
"220006","Total number of national feature films produced","ESP","Spain","2014","2014",216,,
"220006","Total number of national feature films produced","ESP","Spain","2015","2015",255,,
"220006","Total number of national feature films produced","SWE","Sweden","2005","2005",53,,
"220006","Total number of national feature films produced","SWE","Sweden","2006","2006",46,,
"220006","Total number of national feature films produced","SWE","Sweden","2007","2007",29,,
"220006","Total number of national feature films produced","SWE","Sweden","2008","2008",36,,
"220006","Total number of national feature films produced","SWE","Sweden","2009","2009",41,,
"220006","Total number of national feature films produced","SWE","Sweden","2010","2010",54,,
"220006","Total number of national feature films produced","SWE","Sweden","2011","2011",43,,
"220006","Total number of national feature films produced","SWE","Sweden","2012","2012",51,,
"220006","Total number of national feature films produced","SWE","Sweden","2013","2013",61,,
"220006","Total number of national feature films produced","SWE","Sweden","2014","2014",56,,
"220006","Total number of national feature films produced","SWE","Sweden","2015","2015",50,,
"220006","Total number of national feature films produced","CHE","Switzerland","2005","2005",86,,
"220006","Total number of national feature films produced","CHE","Switzerland","2006","2006",80,,
"220006","Total number of national feature films produced","CHE","Switzerland","2007","2007",87,,
"220006","Total number of national feature films produced","CHE","Switzerland","2008","2008",87,,
"220006","Total number of national feature films produced","CHE","Switzerland","2009","2009",80,,
"220006","Total number of national feature films produced","CHE","Switzerland","2010","2010",88,,
"220006","Total number of national feature films produced","CHE","Switzerland","2011","2011",84,,
"220006","Total number of national feature films produced","CHE","Switzerland","2012","2012",93,,
"220006","Total number of national feature films produced","CHE","Switzerland","2013","2013",103,,
"220006","Total number of national feature films produced","CHE","Switzerland","2014","2014",110,,
"220006","Total number of national feature films produced","CHE","Switzerland","2015","2015",102,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2005","2005",106,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2006","2006",107,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2007","2007",124,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2008","2008",279,,
